mo_id,criminal_id,crime_type,entry_method,escape_method,target_selection,crime_timing,weapon_used,dress_pattern,communication_method,vehicle_used,accomplice_count,victim_selection,planning_level,technology_used,repeat_pattern,special_notes
95,CRM-IND-00095,Fraud,Front door,On foot,Banks,Late night (11PM-3AM),Machete,Black hoodie,Telegram,Stolen vehicle,1,ATMs,Impulsive,Skeleton keys,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
96,CRM-IND-00096,Sexual Offense,Roof entry,On foot,Parked vehicles,Afternoon (12PM-3PM),Hammer,Workman overalls,Telegram,On foot,3,Women walking alone,Impulsive,Hacking tools,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. Gang affiliated: Dhole Patti Gang.
97,CRM-IND-00097,Kidnapping,Wall breach,Train,Festival crowds,Midnight,Hammer,Uniform disguise,Telegram,Stolen vehicle,5,Festival crowds,Opportunistic,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
98,CRM-IND-00098,Sexual Offense,Lock picking,Taxi,Jewelry shops,Early morning (3AM-6AM),Hammer,Formal attire,Coded language,On foot,0,Parked vehicles,Opportunistic,Lock pick set,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
99,CRM-IND-00099,Cybercrime,Wall breach,Car escape,College students,Evening (6PM-9PM),None,Face mask and cap,Hand signals,Car,2,Street vendors,Opportunistic,Hacking tools,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. Gang affiliated: Dark Angels.
100,CRM-IND-00100,Robbery,Door break,On foot,Jewelry shops,Dawn,Cricket Bat,Black hoodie,Telegram,Van,0,Parked vehicles,Professional,None,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
101,CRM-IND-00101,Cybercrime,Door break,Hiding in crowd,Street vendors,Afternoon (12PM-3PM),Machete,Uniform disguise,WhatsApp,Car,1,ATMs,Impulsive,Skeleton keys,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. Gang affiliated: Red Hand.
102,CRM-IND-00102,Kidnapping,Door break,Through lanes,Street vendors,Evening (6PM-9PM),None,Helmet and visor,Coded language,On foot,0,Offices after hours,Opportunistic,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Non-violent offender. No gang affiliation.
103,CRM-IND-00103,Murder,Fire escape,Through lanes,Construction sites,Dusk,Knife,Workman overalls,Signal,Motorcycle,0,Parked vehicles,Moderately Planned,Skeleton keys,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. No gang affiliation.
104,CRM-IND-00104,Cybercrime,Fire escape,Bus,Construction sites,Midnight,Machete,Face mask and cap,Signal,Bicycle,3,ATMs,Professional,Lock pick set,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
105,CRM-IND-00105,Theft,Key duplication,Bike escape,Street vendors,Morning (6AM-10AM),None,Sports wear,Face to face,Auto rickshaw,5,Jewelry shops,Moderately Planned,Hacking tools,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
106,CRM-IND-00106,Extortion,Fire escape,Car escape,Street vendors,Dusk,Hammer,Casual clothes,Signal,Auto rickshaw,6,Parked vehicles,Highly Planned,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
107,CRM-IND-00107,Theft,Roof entry,Car escape,ATMs,Midnight,None,Sports wear,Prepaid SIM,Tempo,5,Banks,Impulsive,Lock pick set,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as High risk. White Collar offender. No gang affiliation.
108,CRM-IND-00108,Murder,Lock picking,Car escape,Construction sites,Afternoon (12PM-3PM),Chain,Dark clothing,Signal,Car,1,Festival crowds,Impulsive,Hacking tools,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
109,CRM-IND-00109,Extortion,Fire escape,Auto rickshaw,College students,Midnight,Sword,Face mask and cap,Prepaid SIM,Tempo,1,College students,Professional,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Organized Crime offender. No gang affiliation.
110,CRM-IND-00110,Cybercrime,Key duplication,Bus,College students,Late night (11PM-3AM),None,Casual clothes,Coded language,Car,1,College students,Highly Planned,Fake documents,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
111,CRM-IND-00111,Kidnapping,Front door,Hiding in crowd,Offices after hours,Afternoon (12PM-3PM),Sword,Formal attire,Prepaid SIM,SUV,0,Isolated houses,Highly Planned,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
112,CRM-IND-00112,Cybercrime,Key duplication,Car escape,Festival crowds,Evening (6PM-9PM),None,Face mask and cap,Coded language,Van,3,Parked vehicles,Professional,None,Known to repeat Cybercrime offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Habitual Offender offender. No gang affiliation.
113,CRM-IND-00113,Sexual Offense,Not applicable,Car escape,Festival crowds,Evening (6PM-9PM),None,Workman overalls,Signal,Truck,0,Isolated houses,Impulsive,Night vision,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
114,CRM-IND-00114,Drug Offense,Roof entry,Through lanes,IT parks,Late night (11PM-3AM),None,Workman overalls,Telegram,Bicycle,2,Offices after hours,Professional,Fake documents,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
115,CRM-IND-00115,Extortion,Roof entry,Auto rickshaw,Construction sites,Morning (6AM-10AM),Machete,Casual clothes,Signal,Tempo,5,Festival crowds,Opportunistic,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. Gang affiliated: Scorpion Crew.
116,CRM-IND-00116,Drug Offense,Door break,Taxi,Parked vehicles,Afternoon (12PM-3PM),Axe,Dark clothing,Hand signals,SUV,2,Offices after hours,Opportunistic,Skeleton keys,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. No gang affiliation.
117,CRM-IND-00117,Extortion,Wall breach,Train,Jewelry shops,Morning (6AM-10AM),None,Formal attire,WhatsApp,Van,0,Festival crowds,Highly Planned,None,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. Gang affiliated: Dhole Patti Gang.
118,CRM-IND-00118,Drug Offense,Door break,Hiding in crowd,Jewelry shops,Dawn,None,Casual clothes,Hand signals,Truck,5,Festival crowds,Moderately Planned,Lock pick set,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Habitual Offender offender. No gang affiliation.
119,CRM-IND-00119,Fraud,Fire escape,Bus,Construction sites,Dawn,Iron Rod,Dark clothing,Prepaid SIM,Auto rickshaw,3,Elderly people,Moderately Planned,Signal jammer,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
120,CRM-IND-00120,Sexual Offense,Not applicable,On foot,Elderly people,Afternoon (12PM-3PM),Machete,Dark clothing,Telegram,Truck,2,ATMs,Highly Planned,Lock pick set,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
121,CRM-IND-00121,Sexual Offense,Roof entry,Bus,ATMs,Dusk,Hammer,Sports wear,Prepaid SIM,Van,0,Offices after hours,Highly Planned,Hacking tools,Known to repeat Sexual Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. No gang affiliation.
122,CRM-IND-00122,Assault,Not applicable,Taxi,College students,Evening (6PM-9PM),None,Sports wear,Prepaid SIM,Tempo,4,Elderly people,Moderately Planned,GPS tracker,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Organized Crime offender. No gang affiliation.
123,CRM-IND-00123,Fraud,Door break,Bike escape,Street vendors,Morning (6AM-10AM),Cricket Bat,Formal attire,Signal,SUV,6,Elderly people,Impulsive,Signal jammer,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. Gang affiliated: Vishrantwadi Boys.
124,CRM-IND-00124,Murder,Door break,Taxi,Elderly people,Dawn,None,Helmet and visor,Telegram,Stolen vehicle,1,Offices after hours,Moderately Planned,Hacking tools,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. No gang affiliation.
125,CRM-IND-00125,Murder,Lock picking,Auto rickshaw,Elderly people,Morning (6AM-10AM),Cricket Bat,Face mask and cap,Hand signals,Auto rickshaw,3,Parked vehicles,Opportunistic,None,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
126,CRM-IND-00126,Fraud,Lock picking,Auto rickshaw,Banks,Afternoon (12PM-3PM),Cricket Bat,Dark clothing,Prepaid SIM,Truck,4,College students,Moderately Planned,Skeleton keys,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. White Collar offender. No gang affiliation.
127,CRM-IND-00127,Murder,Not applicable,Taxi,Parked vehicles,Morning (6AM-10AM),None,Uniform disguise,Coded language,Auto rickshaw,4,Elderly people,Highly Planned,Lock pick set,Known to repeat Murder offenses in similar areas with consistent timing patterns.,Subject classified as High risk. Violent offender. Gang affiliated: Patil Toli.
128,CRM-IND-00128,Robbery,Key duplication,Car escape,Offices after hours,Evening (6PM-9PM),Axe,Black hoodie,Face to face,SUV,6,Festival crowds,Opportunistic,Lock pick set,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. White Collar offender. No gang affiliation.
129,CRM-IND-00129,Fraud,Back door,Train,IT parks,Afternoon (12PM-3PM),Chain,Sports wear,Telegram,Van,1,Parked vehicles,Opportunistic,None,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Non-violent offender. No gang affiliation.
130,CRM-IND-00130,Fraud,Key duplication,Bus,Parked vehicles,Late night (11PM-3AM),Knife,Uniform disguise,WhatsApp,Stolen vehicle,2,Banks,Moderately Planned,Night vision,Known to repeat Fraud offenses in similar areas with consistent timing patterns.,Subject classified as Critical risk. Organized Crime offender. No gang affiliation.
131,CRM-IND-00131,Assault,Wall breach,On foot,Elderly people,Early morning (3AM-6AM),Sword,Black hoodie,Telegram,On foot,5,Elderly people,Opportunistic,Skeleton keys,Known to repeat Assault offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
132,CRM-IND-00132,Theft,Wall breach,Through lanes,Festival crowds,Midnight,Knife,Workman overalls,Face to face,Stolen vehicle,5,Isolated houses,Impulsive,Lock pick set,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Organized Crime offender. Gang affiliated: Shinde Group.
133,CRM-IND-00133,Extortion,Not applicable,Auto rickshaw,Isolated houses,Afternoon (12PM-3PM),Sword,Formal attire,Prepaid SIM,Truck,1,Jewelry shops,Impulsive,Lock pick set,Known to repeat Extortion offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
134,CRM-IND-00134,Drug Offense,Lock picking,Car escape,Parked vehicles,Dawn,Sword,Helmet and visor,Coded language,Stolen vehicle,2,ATMs,Professional,Lock pick set,Known to repeat Drug Offense offenses in similar areas with consistent timing patterns.,Subject classified as Medium risk. Violent offender. No gang affiliation.
135,CRM-IND-00135,Robbery,Wall breach,Auto rickshaw,Banks,Morning (6AM-10AM),Cricket Bat,Helmet and visor,Signal,Truck,1,Women walking alone,Opportunistic,Signal jammer,Known to repeat Robbery offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Non-violent offender. Gang affiliated: Cobra Unit.
136,CRM-IND-00136,Theft,Not applicable,Through lanes,Women walking alone,Dawn,Hammer,Dark clothing,Hand signals,Stolen vehicle,6,Parked vehicles,Moderately Planned,None,Known to repeat Theft offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Habitual Offender offender. Gang affiliated: Fire Eagles.
137,CRM-IND-00137,Kidnapping,Window break,Bus,Parked vehicles,Dusk,Sword,Dark clothing,Prepaid SIM,Stolen vehicle,0,Elderly people,Opportunistic,None,Known to repeat Kidnapping offenses in similar areas with consistent timing patterns.,Subject classified as Low risk. Violent offender. No gang affiliation.
